Timestamp,ESP32_ECG_Raw,Bangle_PPG_BPM
07:28:51.913,142,133
07:28:51.914,142,133
07:28:51.915,142,133
07:28:52.841,141,142
07:28:52.856,141,142
07:28:52.871,141,142
07:28:52.903,141,142
07:28:52.903,141,142
07:28:52.916,142,142
07:28:52.934,141,142
07:28:53.846,142,136
07:28:55.917,141,143
07:28:55.918,141,143
07:28:55.919,141,143
07:28:55.920,142,143
07:28:55.921,141,143
07:28:55.922,141,143
07:28:55.939,141,143
07:28:55.941,141,143
07:28:55.954,142,143
07:28:56.847,142,144
07:28:56.854,141,144
07:28:56.878,141,144
07:28:56.883,141,144
07:28:56.898,141,144
07:28:56.914,141,144
07:28:56.929,141,144
07:28:56.945,141,144
07:28:56.959,142,144
07:28:56.980,142,144
07:28:56.997,141,144
07:28:57.003,142,144
07:28:57.011,142,144
07:28:57.033,142,144
07:28:57.046,141,144
07:28:57.847,141,135
07:28:57.861,141,135
07:28:57.885,142,135
07:28:57.887,141,135
07:28:57.897,142,135
07:28:57.912,142,135
07:28:57.926,141,135
07:28:57.942,142,135
07:28:57.963,142,135
07:28:57.974,142,135
07:28:57.986,141,135
07:28:58.002,142,135
07:28:58.016,141,135
07:28:58.031,142,135
07:28:59.859,142,147
07:28:59.859,141,147
07:28:59.876,142,147
07:29:00.845,142,162
07:29:00.860,142,162
07:29:00.880,141,162
07:29:00.891,142,162
07:29:00.911,142,162
07:29:00.912,141,162
07:29:00.925,142,162
07:29:00.942,141,162
07:29:00.960,142,162
07:29:00.973,141,162
07:29:00.990,142,162
07:29:01.008,142,162
07:29:01.016,142,162
07:29:01.030,142,162
07:29:01.841,142,165
07:29:01.857,142,165
07:29:01.877,141,165
07:29:01.891,141,165
07:29:01.894,142,165
07:29:01.916,141,165
07:29:03.844,141,160
07:29:03.851,141,160
07:29:04.841,142,165
07:29:04.857,142,165
07:29:04.871,142,165
07:29:04.887,142,165
07:29:04.903,141,165
07:29:04.918,142,165
07:29:04.924,142,165
07:29:05.849,141,160
07:29:05.855,141,160
